AuthorID,Author,Date,Content,Attachments,Reactions
"709289083867758625","alt9800","2026-05-04T21:03:14.6820000+09:00","(背景地理院地図航空写真)
今年も有田陶器市に行ってきました。
昨年は気が付かなかったのですが、有田町内はbingの2011年のソースからインポートされた建物が多くて建物とそれに対する窯元などPoIのマッピングは充実してきているものの、しかしながら道路や航空写真に対して建物がずれていて修正が必要なところも結構ありそうです(画像はセットバック後)
新興の陶器屋さんも素敵なお店がたくさんできていたので地図に残さねばという所存です","https://cdn.discordapp.com/attachments/1280905549227102210/1500830161627648100/image.png?ex=6a313b82&is=6a2fea02&hm=393ef55594c9a43b193fa1c5f894b8a748d3f2587dcd293634e9070fe0341f11&","👍 (3)"
"709289083867758625","alt9800","2026-05-04T21:11:04.0990000+09:00","最近こちらのチャンネルにもスパムがたまに流れてきますね。
(あるいはツールを使った人間による無差別なメッセージなんでしょうけどBotと変わりはないので...) 
デフォルトでは三人くらいから通報受けると強制的にほかのユーザにも表示されなくなってるはずで、
`...>メッセージの通報>スパム`と入れると重みづけできて他のユーザも助かると思います。","","👍 (2),👀 (1)"
"282346512065888266","gray27","2026-05-06T18:10:01.7580000+09:00","私だけかしら","https://cdn.discordapp.com/attachments/1280905549227102210/1501511346263425034/image.png?ex=6a3112e9&is=6a2fc169&hm=d24745d5e55883df976ee1bc3d0ec0f8935e5232634bd2d716d2d4c5fb5ecc2d&","😅 (1)"
"282346512065888266","gray27","2026-05-06T18:12:47.6550000+09:00","うーん、応答速度は遅いけど動かないことはないな iD","","😅 (1)"
"739988936092418122","k.sakanoshita","2026-05-06T18:14:50.1500000+09:00","EveryDoorの動きも少し遅い感じですねー","",""
"824917397827354634","tom_konda","2026-05-06T18:25:14.9230000+09:00","さっき EveryDoor からアップロードしようとしたら拒否されました。
再試行したらアップロードできたので、サーバの調子が悪いのかもしれないですね","",""
"282346512065888266","gray27","2026-05-06T19:11:32.1350000+09:00","今日の夕方はそんなに人も多くなくわりとゆっくりサーベイできました","https://cdn.discordapp.com/attachments/1280905549227102210/1501526824889487461/image.png?ex=6a312154&is=6a2fcfd4&hm=ce1761424eaf810df68dfa306b4ea3d9423bc8ed8abfe673fb599c260ace5fe9&","👍 (4)"
"844251370411786272","wish.f","2026-05-06T19:11:58.3730000+09:00","JOSMでもサーバの反応がないメッセージが出ました","",""
"282346512065888266","gray27","2026-05-07T15:00:33.3200000+09:00","規模が縮小してしまった山梨県中央市のショッピングセンターをマッピングしてきました","https://cdn.discordapp.com/attachments/1280905549227102210/1501826051498840115/Screenshot_20260507-145937.jpg?ex=6a30e681&is=6a2f9501&hm=da2ee423164888982e8d88b3c68cebf20e5d18f675ee9c893e4d2d018c61d524&","👍 (4)"
"282346512065888266","gray27","2026-05-07T17:41:55.9530000+09:00","PCから手直し","https://cdn.discordapp.com/attachments/1280905549227102210/1501866663564279859/image.png?ex=6a310c53&is=6a2fbad3&hm=0a2d1e92349e3fb9810dbe464771b58d8d9f30f60b59a9c4f7a9b1d0c1903c3f&","👍 (4)"
"709289083867758625","alt9800","2026-05-08T02:07:20.6210000+09:00","九州産業大学に行ってまいりました。
色々書き方のスタイルでよくないお作法かもしれませんが、芝生のレイヤーを分けて描くことでサッカーコートを実現していて感心しました。","https://cdn.discordapp.com/attachments/1280905549227102210/1501993853513760768/image.png?ex=6a30da08&is=6a2f8888&hm=618813bfef65a3b3ee678371b38166938b12c6eb7a6caff96ef934aed21ddebd&,https://cdn.discordapp.com/attachments/1280905549227102210/1501993853979463952/image.png?ex=6a30da08&is=6a2f8888&hm=e4557d568a5dfb8862d9077179cebe3bfe47afa2ba702f09781a15f14ea4b0f4&","👍 (4),🫠 (3),⚽ (4),🍷 (1)"
